source	rust_destination	status
src/mapping/node_aware_dist.h	src/node_aware.rs; src/node_reordering.rs	replaced: direct dense inter-node grid enumeration and rank-reordered selection replace the declaration-only C++ header
src/mapping/topology.cxx	src/mapping.rs; src/node_reordering.rs	partial: explicit topology fibers, forward/inverse node rank permutations and fractional communicator peer averages; source CPU topology uses explicit ppn (default 1 / CTF_PPN override), not automatic hardware discovery; full responsibility audit pending
src/mapping/topology.h	src/mapping.rs; src/context.rs; src/topology_candidates.rs	partial: explicit topology dimensions/rank/fibers and candidate catalogs; communicator lifecycle is explicit Context ownership rather than the C++ topology ABI
src/scripts/expand_includes.sh	Cargo/build tooling	replaced
src/scripts/license.sh	Cargo/build tooling	replaced
src/scripts/manual_readlink.sh	Cargo/build tooling	replaced
src/scripts/recursive_expand_includes.sh	Cargo/build tooling	replaced
src/tensor/algstrct.cxx	src/sparse_reduce.rs; src/ffi/gather.rs; src/sparse_keys.rs	partial: source CSR/CCSR cyclic-row subgroup exchange, binary-tree merge, recursive reduction and Gather/Gatherv root assembly; raw pin/depin local radices, virtual residues and padding removal with mapped sparse-A production integration; exact WSL local and MPI coverage; other responsibilities/full integration pending
src/tensor/algstrct.h	src/algebra.rs; src/linalg.rs; src/kernel.rs; src/sparse_formats.rs; src/sparse_coo.rs	partial: typed Rust algebra/kernel traits replace the virtual dense ABI; remaining specializations are sparse-only
src/tensor/Makefile	Cargo/build tooling	replaced
src/tensor/untyped_tensor_tmpl.h	src/tensor.rs; src/dense_transform.rs; src/scaling.rs	partial: generic transform/indexed scaling and typed conversion responsibilities have direct owners; C++ template helpers are not an API
src/tensor/untyped_tensor.cxx	src/tensor.rs; src/redist_cost.rs; src/fold_layout.rs; src/pair_read.rs; src/binary_io.rs; src/ffi/binary_io.rs; src/permuted_io.rs; src/symmetric_permuted_io.rs; src/sparse_permuted_io.rs	partial: dense storage, all source-supported mixed-storage coordinate permutation paths, explicit all-rank extraction, consecutive-chunk binary MPI-IO, source dense redistribution estimates, tensor::fold local packed-group metadata; remaining optimized reshuffle and full folded storage lifecycle pending
src/tensor/untyped_tensor.h	src/tensor.rs; src/mapping.rs; src/redist.rs; src/pair_read.rs; src/binary_io.rs; src/sparse.rs; src/symmetric_tensor.rs	partial: owned typed tensors cover the dense interface; remaining lifecycle/optimization gaps are sparse or shared implementation details
src/shared/blas_symbs.cxx	src/linalg.rs; src/ffi/linalg.rs; src/ffi/factor.rs; src/ffi/scalapack.rs	ported four-type GEMM/SYR and local/distributed solve responsibilities; typed Rust loops replace AXPY/SCAL/COPY/DDOT and optional batch GEMM
src/shared/blas_symbs.h	src/linalg.rs; src/ffi/linalg.rs	replaced: compile-time typed kernel traits and internal LP64 FFI declarations replace C++ symbol wrappers
src/shared/fompi_wrapper.h	src/ffi/mpi.rs; src/dgtog_redist.rs	replaced: direct MPI ROR communication replaces the foMPI/CRITTER compatibility shim
src/shared/init_models.cxx	src/initial_models.rs	32 CPU coefficient arrays ported; offload excluded; exact roundtrip pass
src/shared/init_models.h	src/initial_models.rs	Rust static CPU model table replaces declarations
src/shared/int_timer.cxx	src/int_timer.rs	ported named inclusive/exclusive/call accumulation, nested registry and communicator MPI totals with explicit ownership
src/shared/int_timer.h	src/int_timer.rs	replaced: typed timer records and registry replace fixed buffers, macros and hidden communicator state
src/shared/iter_tsr.h	src/partial_fold_kernel.rs; src/symmetry.rs; src/symmetric_contraction.rs; src/symmetric_sum.rs; src/scaling.rs	replaced: typed iteration and symmetry-offset logic replace the C++ macros/helpers
src/shared/lapack_symbs.cxx	src/ffi/linalg.rs; src/ffi/scalapack.rs	partial: four-type native GEMM and distributed POTRF/POSV/TRSM/GEQRF/ORGQR/UNGQR/GESVD/SYEVX/HEEVX; local decompositions remain f64; remaining scalar/routine families pending
src/shared/lapack_symbs.h	src/ffi/linalg.rs; src/ffi/scalapack.rs; src/matrix.rs	partial: typed Rust FFI replaces C++ symbol declarations; unported routine/scalar families are outside the closed dense driver set
src/shared/Makefile	Cargo/build tooling	replaced
src/shared/memcontrol.cxx	src/memcontrol.rs; examples/mpi_low_memory_bench.rs	ported cap/process-share/used-memory budgeting and low-memory selection; OS resident set replaces allocator registry and Linux cgroup limit corrects bare-host assumption
src/shared/memcontrol.h	src/memcontrol.rs	replaced: exact budget value types and RAII allocation replace raw allocation/deallocation/profiler hooks
src/shared/mkl_symbs.h	src/algebra.rs; src/kernel.rs; src/sparse_formats.rs; src/sparse_coo.rs	partial: elementwise operations are native Rust; optional MKL sparse backends remain a sparse-only concern
src/shared/model.cxx	src/model.rs; src/cost.rs	ported: linear/cubic prediction, rolling observations, distributed QR/SVD update and explicit CPU registry coefficient write/load, rank-ordered dumps and printing; C1.1 source-format roundtrip PASS WSL1/2/4
src/shared/model.h	src/model.rs; src/cost.rs	replaced: explicit typed CPU model registry methods; no process-global registry or environment-triggered load
src/shared/offload.cu	excluded: CUDA/offload	excluded
src/shared/offload.cxx	excluded: CUDA/offload	excluded
src/shared/offload.h	excluded: CUDA/offload	excluded
src/shared/pmpi.h	src/ffi/mpi.rs; src/int_timer.rs	partial: direct MPI and owned timers replace dense PMPI use; macro interception is not retained
src/shared/util.cxx	src/util.rs; src/symmetry.rs; src/fold_layout.rs; src/mapping_variants.rs; src/topology_candidates.rs	ported packed size/index recurrences, factorization, choice, permutation and strided/ragged copies; pinned copy-width/coalescing/allocation defects not reproduced
src/shared/util.h	src/util.rs; typed Rust modules	replaced: slices, Vec, assertions and module constants replace raw-pointer helpers, VLA and dispatch/logging macros
src/interface/back_comp.h	src/runtime.rs; src/context.rs; src/tensor.rs; src/matrix.rs; src/vector.rs; src/scalar.rs; src/int_timer.rs; src/flop_counter.rs	replaced: excluded C++ compatibility aliases have direct native Rust owners
src/interface/common.cxx	src/common.rs; src/random.rs; src/flop_counter.rs	ported: native index encode/decode, prefix recurrences, permutations, allocation helpers, exact MT19937-64 engine, interval conversion and process-global flop count; raw C++ diagnostics/ABI helpers excluded
src/interface/common.h	src/common.rs; src/context.rs; src/runtime.rs	ported: common CPU helpers and communicator ownership have direct typed Rust owners
src/interface/decomposition.cxx	src/tensor_svd.rs; src/reshape.rs	incomplete upstream HoSVD class and excluded C++ expression machinery, not a working class API to port; indexed tensor SVD exists; working examples/hosvd.cxx algorithm remains pending separately
src/interface/decomposition.h	Rust direct tensor/matrix APIs	unfinished upstream HoSVD declaration and excluded expression interface; see docs/coverage.md
src/interface/flop_counter.cxx	src/flop_counter.rs; src/ffi/linalg.rs	ported process-global accumulation, interval snapshot/zero and communicator MPI_SUM; production GEMM instrumentation has exact D4 coverage
src/interface/fun_term.cxx	src/interface	replaced: direct Rust operations replace the expression interface
src/interface/fun_term.h	src/interface	replaced: direct Rust operations replace the expression interface
src/interface/functions.h	src/sparse_function_kernel.rs; src/sparse_gemm.rs; src/sparse_fold_function.rs	partial: Bivar_Function CSR sparse/dense and sparse/sparse dense/sparse-output kernels with distributed panels and fullyfoldable high-order custom dispatch; remaining function kernels and general dense dispatch pending
src/interface/graph_io_aux.cxx	src/sparse_text.rs; src/ffi/mpi_io.rs	implemented: four typed coordinate codecs and communicator-scoped MPI-IO; fixed source overlap and prefix writes; unsafe EOF, MPI_COMM_WORLD and scanf-pointer behavior corrected; C1 WSL1/2/4 and native1/2/4 PASS, native compile/link PASS
src/interface/group.h	src/algebra.rs	replaced: native Group trait and typed additive inverses replace the C++ hierarchy
src/interface/idx_tensor.cxx	src/interface	replaced: direct Rust operations replace the expression interface
src/interface/idx_tensor.h	src/interface	replaced: direct Rust operations replace the expression interface
src/interface/kernel.h	src/sparse_coo.rs; src/kernel.rs; src/sparse_2d.rs	partial: mixed-type Kernel<f,g> COO, dense GEMM, CSR/dense, CSR/CSR dense/sparse-output loops plus Monoid strided xpy; explicit typed COO 2D communication, arbitrary accumulator and source coefficient restrictions; automatic distributed mixed-type dispatch pending
src/interface/logger.h	src/memcontrol.rs; src/int_timer.rs	partial: resident-memory and timer evidence have explicit owners; C++ event/plan logger hooks are not part of the native API
src/interface/Makefile	Cargo/build tooling	replaced
src/interface/matrix.cxx	src/matrix.rs; src/sparse_svd.rs; src/ffi/scalapack.rs	partial: four-type distributed thin/truncated/randomized SVD, sparse randomized SVD with sparse Gram/projection products and source mutable guess lifecycle, QR, Cholesky, triangular/positive-definite solves and square-subworld symmetric/Hermitian eigh; remaining routines pending
src/interface/matrix.h	src/matrix.rs	partial direct Rust Tensor matrix APIs
src/interface/monoid.cxx	src/algebra.rs	ported: native typed Monoid implementations and identities
src/interface/monoid.h	src/algebra.rs	ported: Monoid trait replaces the C++ interface hierarchy
src/interface/multilinear.cxx	src/multilinear.rs; src/multilinear_factor.rs; src/multilinear_kernel.rs; src/sparse_multilinear.rs; src/tttp_blocking.rs; src/solve_factor.rs; src/tensor_svd.rs; src/sparse_svd.rs	partial: generic semiring dense/sparse TTTP with factor-fiber broadcast, source auxiliary blocking from explicit rank-local available bytes, fiber-grouped MTTKRP, f64 weighted Solve_Factor, four-type dense/sparse truncated and randomized indexed SVD with sparse permutation/reshape and sparse Gram/projection products; remaining scalar kernels, vector memory diagnostic and process memory accounting pending
src/interface/multilinear.h	src/multilinear.rs; src/tensor_svd.rs	partial: direct Rust TTTP/MTTKRP/tensor SVD APIs
src/interface/partition.cxx	src/partition.rs	ported: Partition and IdxPartition topology reduction and label-bound distributions
src/interface/partition.h	src/partition.rs	ported: native partition types replace the C++ interface
src/interface/ring.cxx	src/algebra.rs	ported: typed arithmetic rings including wrapping u32/u64 operations
src/interface/ring.h	src/algebra.rs	ported: Ring trait replaces the C++ interface hierarchy
src/interface/scalar.cxx	src/scalar.rs	ported: root set and broadcast value for zero-order tensors
src/interface/scalar.h	src/scalar.rs; src/tensor.rs	ported: zero-order Tensor is the native scalar representation
src/interface/schedule.cxx	src/schedule.rs; src/schedule_graph.rs; src/schedule_partition.rs; tests/schedule.rs	partial: explicit replayable dense task DAG, RAW/WAR/WAW hazards, source cost-window partitioning and child-context execution/timing; source integer-cost/null-clone/root/overwrite defects corrected; automatic operation cost attachment and optimized reshuffle pending
src/interface/schedule.h	src/schedule.rs	replaced: direct Rust closures, explicit input/output IDs, context and estimated costs; no global recorder or C++ AST compatibility
src/interface/semiring.cxx	src/algebra.rs; src/linalg.rs; src/ffi/linalg.rs; src/contraction.rs	partial: generic scalar semiring and native four-type GEMM/batched folded kernels; complete sparse/native specialized dispatch pending
src/interface/semiring.h	src/algebra.rs; src/sparse_formats.rs; src/sparse_coo.rs	partial: algebra, gen_csrmm, gen_csrmultcsr, gen_ccsrmm, native default_coomm and generic beta-one coomm; remaining kernels pending
src/interface/set.cxx	src/algebra.rs	ported: native typed Set and Wire contracts
src/interface/set.h	src/algebra.rs; src/sparse_formats.rs	ported: algebra traits plus seq_coo_to_csr, seq_coo_to_ccsr and seq_csr_to_coo
src/interface/sparse_tensor.cxx	src/interface	pending
src/interface/sparse_tensor.h	src/interface	pending
src/interface/tensor.cxx	src/tensor.rs; src/sparse.rs; src/random.rs; src/norms.rs; src/subworld.rs; src/symmetric_subworld.rs; src/sparse_text.rs; src/symmetric_unpack.rs; src/pair_read.rs	partial: direct dense operations, ownership dense/sparse conversion, four-type dense random fill, seven-type sparse-pattern random fill, dense/sparse/compressed real norms and complex norm2 plus bool NS norm2/infinity, generic dense/compressed cross-world accumulation, four-type dense/sparse/compressed text MPI-IO, distributed symmetry unpack and explicit all-rank sorted pair/data extraction; optimized cross-world reshuffle pending; pinned bool norm1 and sparse subworld path are type/storage unsafe rather than coherent supported computations (docs/source-runtime-boundaries.md)
src/interface/tensor.h	src/tensor.rs; src/sparse.rs; src/symmetric_tensor.rs; src/matrix.rs; src/vector.rs; src/scalar.rs; src/context.rs	replaced: owned typed Rust tensors and contexts replace the public C++ wrapper hierarchy
src/interface/term.cxx	src/interface	replaced: direct Rust operations replace the expression interface
src/interface/term.h	src/interface	replaced: direct Rust operations replace the expression interface
src/interface/timer.h	src/int_timer.rs; src/flop_counter.rs	replaced: owned timer records/registry and explicit flop snapshots replace global C++ timers
src/interface/vector.cxx	src/vector.rs; src/tensor.rs	ported: typed distributed arange; rank-one Tensor is the native vector representation
src/interface/vector.h	src/vector.rs; src/tensor.rs	ported: no redundant Vector subclass or C++ wrapper
src/interface/world.cxx	src/runtime.rs; src/context.rs	ported: native MPI runtime, contexts, splits and parity worlds
src/interface/world.h	src/runtime.rs; src/context.rs	ported: native ownership replaces the C++ World wrapper
src/contraction/contraction_plan.h	src/planning.rs	partial: executable explicit-grid mapping plan; costs, diagnostic steps and packing pending
src/contraction/contraction_selector.h	src/selector.rs; src/dense_search.rs	replaced: typed candidate selection; working winner agreement and exhaustive valid-mapping Allreduce implemented; unused upstream allgather assertion is not the working protocol
src/contraction/contraction_signature.cxx	src/planning.rs; src/sparse_contract_general.rs	partial: dense and NS sparse-A/dense-B/dense-C structural grid-plan reuse and context-scoped cache; compressed symmetry and automatic sparse candidate assembly pending
src/contraction/contraction_signature.h	src/planning.rs	partial: dense structural signature, full collision-safe equality
src/contraction/contraction.cxx	src/folding.rs; src/sparse_fold.rs; src/planning.rs; src/selector.rs; src/symmetric_contract_tensor.rs; src/symmetric_contract.rs; src/normal_mapping.rs; src/mapping_variants.rs; src/dense_search.rs; src/dense_execution.rs; src/sparse_mapped_cost.rs; src/sparse_cost.rs; src/redist_cost.rs; src/sparse_search.rs; src/sparse_contract_general.rs	partial: dense folded/unfolded cached normal/exhaustive selection, raw execution, replication and automatic compressed symmetry planning; unfolded sparse-A original-density/redistribution/tree costs feed executable raw pin/replication/panel/virtual/k0 mappings; folded/sparse-output automatic candidates and raw sparse search cache pending
src/contraction/contraction.h	src/contraction.rs; src/symmetric_contract.rs	replaced: direct typed Rust contraction functions and tensor methods replace C++ polymorphic execution trees
src/contraction/ctr_2d_general.cxx	src/ctr_2d.rs; src/mapped_cost.rs; src/plan_cost.rs; src/dense_execution.rs	partial: raw NS generic semiring and selected f32/f64/complex32/complex64 folded nested panel execution; sparse integration pending
src/contraction/ctr_2d_general.h	src/ctr_2d.rs; src/dense_execution.rs	replaced: typed panels/layers and direct executor functions replace the dense C++ executor class
src/contraction/ctr_comm.cxx	src/ctr_comm.rs; src/dense_execution.rs	ported physical-fiber derivation, input broadcasts, root-only beta, recursive child, output-root reduction, replica cleanup and communicator release
src/contraction/ctr_comm.h	src/ctr_comm.rs	replaced: owned Replication schedule replaces cloneable raw communicator arrays
src/contraction/ctr_offload.cxx	excluded: CUDA/offload	excluded
src/contraction/ctr_offload.h	excluded: CUDA/offload	excluded
src/contraction/ctr_tsr.cxx	src/contraction.rs; src/symmetric_contraction_comm.rs; src/dense_execution.rs; src/partial_fold_kernel.rs; src/symmetric_contract_tensor.rs; src/symmetric_contract.rs	ported dense NS/packed virtual execution, four-type folded nested panels, replication and automatic compressed symmetric plan integration
src/contraction/ctr_tsr.h	src/contraction.rs; src/symmetric_contract.rs	replaced: direct typed Tensor and SymmetricTensor contraction methods replace execution-tree ownership
src/contraction/Makefile	Cargo/build tooling	replaced
src/contraction/sp_seq_ctr.cxx	src/sparse_sequential.rs; src/sparse_fold.rs; src/sparse_diagonal.rs; src/sparse_gemm.rs; src/sparse_formats.rs	partial: general NS sparse-A/dense-B/dense-C recursion including pinned limited custom-function branch; folded sparse/mixed children and input pre-reduction; folded custom functions and other general sparse combinations pending
src/contraction/sp_seq_ctr.h	src/sparse_sequential.rs; src/sparse_fold.rs; src/sparse_diagonal.rs; src/sparse_gemm.rs; src/sparse_formats.rs	partial: general NS sparse-A/dense-B/dense-C recursion including pinned limited custom-function branch; folded sparse/mixed children and input pre-reduction; folded custom functions and other general sparse combinations pending
src/contraction/spctr_2d_general.cxx	src/sparse_gemm.rs; src/sparse_2d.rs; src/sparse_cost.rs	partial: stationary-output matrix LCM panels plus explicit CSR/CSR/CSR, CCSR/dense/CCSR, CSR/dense/dense, CSR/CSR/dense, COO/dense/dense and raw pairs/dense/dense moving A/B/C, strip packing, cyclic output reduction/reassembly, literal beta and layer scheduling, recursive children; direct source time/memory formulas; automatic tensor-to-plan assembly pending; sparse node-aware reordering disabled upstream
src/contraction/spctr_2d_general.h	src/sparse_gemm.rs; src/sparse_2d.rs; src/sparse_cost.rs	partial: stationary-output matrix LCM panels plus explicit CSR/CSR/CSR, CCSR/dense/CCSR, CSR/dense/dense, CSR/CSR/dense, COO/dense/dense and raw pairs/dense/dense moving A/B/C, strip packing, cyclic output reduction/reassembly, literal beta and layer scheduling, recursive children; direct source time/memory formulas; automatic tensor-to-plan assembly pending; sparse node-aware reordering disabled upstream
src/contraction/spctr_comm.cxx	src/sparse_contract_general.rs; src/sparse_contraction_comm.rs; src/sparse_cost.rs	partial: mapped sparse-A/dense-B/dense-C broadcasts/root beta/reduction and owner restore; explicit CSR/CSR/CSR and CCSR/dense/CCSR replicated virtual blocks, sparse output-fiber reductions and input cleanup; direct source replication time/memory formulas; automatic plan assembly pending
src/contraction/spctr_comm.h	src/sparse_contract_general.rs; src/sparse_contraction_comm.rs; src/sparse_cost.rs	partial: mapped sparse-A/dense-B/dense-C broadcasts/root beta/reduction and owner restore; explicit CSR/CSR/CSR and CCSR/dense/CCSR replicated virtual blocks, sparse output-fiber reductions and input cleanup; direct source replication time/memory formulas; automatic plan assembly pending
src/contraction/spctr_offload.cxx	excluded: CUDA/offload	excluded
src/contraction/spctr_offload.h	excluded: CUDA/offload	excluded
src/contraction/spctr_tsr.cxx	src/sparse_virtual.rs; src/sparse_contract_general.rs; src/sparse_gemm.rs; src/sparse_fold.rs; src/sparse_cost.rs; src/sparse_cost_local.rs; src/sparse_keys.rs	partial: source virtual strides/order, repeated-index offsets and per-output beta-first tracking, mapped sparse-A pinning and virtual blocks, native krnl5 CCSR output; virtual and pin time/memory plus all twelve CPU leaf models; explicit output depin avoids invalid source null-pointer orchestration; automatic sparse-output/nested panel assembly pending; non-inner sparse-output is a source assertion, not a working leaf
src/contraction/spctr_tsr.h	src/sparse_virtual.rs; src/sparse_contract_general.rs; src/sparse_gemm.rs; src/sparse_fold.rs; src/sparse_cost.rs; src/sparse_cost_local.rs; src/sparse_keys.rs	partial: source virtual strides/order, repeated-index offsets and per-output beta-first tracking, mapped sparse-A pinning and virtual blocks, native krnl5 CCSR output; virtual and pin time/memory plus all twelve CPU leaf models; explicit output depin avoids invalid source null-pointer orchestration; automatic sparse-output/nested panel assembly pending; non-inner sparse-output is a source assertion, not a working leaf
src/contraction/sym_seq_ctr.cxx	src/contraction.rs; src/symmetric_contraction.rs; src/partial_fold_kernel.rs; src/symmetric_contract.rs; src/folding.rs; src/dense_function.rs	ported: NS/packed reference and four-type folded kernels; custom CPU folded GEMM with source alpha-one/single-batch restrictions and transposed-output swapping; explicit mapped specialization, automatic dense-custom no-fold retained
src/contraction/sym_seq_ctr.h	src/contraction.rs; src/symmetric_contraction.rs	replaced: typed slice kernels replace raw virtual-block execution objects
src/redistribution/cyclic_reshuffle.cxx	src/cyclic_reshuffle.rs; src/symmetric_reshuffle.rs; src/subworld.rs; src/symmetric_subworld.rs; src/tensor.rs; src/symmetric_tensor.rs	ported dense high-order legacy and value-only subworld paths; low-order dense dispatches to DGTOG and symmetric arbitrary-phase traffic to global reshuffle
src/redistribution/cyclic_reshuffle.h	src/cyclic_reshuffle.rs; src/glb_cyclic_reshuffle.rs	replaced: owned exact plans replace raw offset/count buffers
src/redistribution/dgtog_bucket.h	src/dgtog_bucket.rs	ported source ROR traversal, padding exclusion, virtual placement and value-only pack/unpack
src/redistribution/dgtog_calc_cnt.cxx	src/dgtog_calc_cnt.rs	ported physical-phase LCM replica buckets, closed-form counts/displacements, peers and root selection
src/redistribution/dgtog_calc_cnt.h	src/dgtog_calc_cnt.rs	replaced: owned Layout metadata replaces caller-allocated arrays
src/redistribution/dgtog_redist_ror.h	src/dgtog_redist.rs; src/ffi/mpi.rs	ported default receive-before-send MPI Irecv/Isend/Waitall root-to-root exchange and root unpack
src/redistribution/dgtog_redist.cxx	src/dgtog_redist.rs; src/tensor.rs	ported dense order<=12 default dispatch with additive-identity new nonroot replicas
src/redistribution/dgtog_redist.h	src/dgtog_redist.rs	replaced: direct generic Rust reshuffle replaces compile-time switch wrappers
src/redistribution/glb_cyclic_reshuffle.cxx	src/glb_cyclic_reshuffle.rs	ported intended count/pack/exchange/scaled-unpack algorithm; pinned early return and disabled exchange block recorded as source defect
src/redistribution/glb_cyclic_reshuffle.h	src/glb_cyclic_reshuffle.rs	replaced: owned GlobalReshufflePlan carries exact peer offsets/counts/displacements
src/redistribution/Makefile	Cargo/build tooling	replaced
src/redistribution/nosym_transp.cxx	src/nosym_transp.rs; src/tensor.rs	ported source-order contiguous-prefix forward/backward dense transpose including virtual blocks and padding cleanup
src/redistribution/nosym_transp.h	src/nosym_transp.rs	replaced: TransposePlan owns shape, permutation, strides and contiguous run length
src/redistribution/pad.cxx	src/pad.rs; src/symmetric_distribution.rs; src/symmetric_tensor.rs	ported canonical packed pad/depad/zeroing across every virtual block; disabled and double-increment source defects are not preserved
src/redistribution/pad.h	src/pad.rs	replaced: CanonicalPadding owns canonical and padding offsets
src/redistribution/redist.cxx	src/redist.rs; src/tensor.rs	ported equal-phase primary-layer whole-block reshuffle with exact counts/displacements and additive-identity replica layers
src/redistribution/redist.h	src/redist.rs	replaced: BlockReshufflePlan replaces raw buffer/displacement ownership
src/redistribution/slice.cxx	src/slice.rs; src/tensor.rs	ported dense NS local intersection, cyclic physical rank shift and local alpha/beta insertion
src/redistribution/slice.h	src/slice.rs	replaced: SlicePlan and typed accumulation replace C++ raw pointer API
src/redistribution/sparse_rw.cxx	src/sparse.rs	partial: sorted virtual-block storage, indexed additive/scaled writes, absent-key reads and owner routing; optimized sparse communication kernels pending
src/redistribution/sparse_rw.h	src/sparse.rs	partial: sorted virtual-block storage, indexed additive/scaled writes, absent-key reads and owner routing; optimized sparse communication kernels pending
src/symmetry/Makefile	Cargo/build tooling	replaced
src/symmetry/sym_indices.cxx	src/sym_indices.rs	pair/triple alignment, relative signs and both multiplicity factors; exact local checks pass
src/symmetry/sym_indices.h	src/sym_indices.rs	Rust direct helper APIs; integration into distributed symmetry pending
src/symmetry/symmetrization.cxx	src/sym_permutations.rs; src/symmetric_sy_sum.rs; src/symmetric_contract.rs	ported: permutation helpers and contraction-path SymmetricTensor::desymmetrized/symmetrize_from; C1.2 per-function driver correspondence in validation.md
src/symmetry/symmetrization.h	src/sym_permutations.rs; src/symmetric_sy_sum.rs	replaced: typed permutation and tensor symmetrization APIs; C1.2 correspondence documented
src/summation/Makefile	Cargo/build tooling	replaced
src/summation/spr_seq_sum.cxx	src/sparse_sum.rs	partial: NS sparse/mixed indexed sum semantics; optimized mapped sequential kernels and custom function paths pending
src/summation/spr_seq_sum.h	src/sparse_sum.rs	partial: NS sparse/mixed indexed sum semantics; optimized mapped sequential kernels and custom function paths pending
src/summation/spsum_tsr.cxx	src/sparse_sum.rs	partial: distributed canonical-key sum routing; optimized sparse summation planner/communication pending
src/summation/spsum_tsr.h	src/sparse_sum.rs	partial: distributed canonical-key sum routing; optimized sparse summation planner/communication pending
src/summation/sum_tsr.cxx	src/summation.rs; src/symmetric_sum_comm.rs; src/symmetric_sum_tensor.rs	ported dense NS/packed virtual blocks, input-broadcast/output-reduce execution and automatic compressed symmetry plan construction
src/summation/sum_tsr.h	src/summation.rs; src/symmetric_sum_tensor.rs	replaced: direct typed indexed-sum methods replace execution-tree ownership
src/summation/summation.cxx	src/symmetric_sum_tensor.rs; src/symmetric_hollow_sum.rs; src/symmetric_sy_sum.rs; src/symmetric_diagonal.rs; src/summation.rs	partial: canonical and symmetry-aware sums, generic SY recursion, source run_diag stack and automatic dense mapper; remaining upstream driver coverage pending
src/summation/summation.h	src/summation.rs; src/symmetric_sum_tensor.rs	replaced: direct typed Rust summation functions and tensor methods replace C++ execution objects
src/summation/sym_seq_sum.cxx	src/summation.rs; src/symmetric_sum.rs; src/tensor.rs	ported: NS and packed canonical kernels, matched-group folded contiguous summation and mapped non-inner custom-function branches; source alpha/function/beta order
src/summation/sym_seq_sum.h	src/summation.rs; src/symmetric_sum.rs	replaced: generic direct dense/symmetric kernels replace C++ declarations
src/scaling/Makefile	Cargo/build tooling	replaced
src/scaling/scale_tsr.cxx	src/scale_tsr.rs	ported dense virtual tuple order, repeated-label stride aggregation and recursive block traversal; exact D1 checks pass
src/scaling/scale_tsr.h	src/scale_tsr.rs	replaced: owned Rust slices and closures replace the cloneable C++ execution node
src/scaling/scaling.cxx	src/scaling.rs; src/tensor.rs; src/symmetric_operations.rs	ported dense mapped/indexed right scaling and zero-edge no-op without gather; source sparse branch deferred beyond dense D1
src/scaling/scaling.h	src/scaling.rs; src/tensor.rs; src/symmetric_operations.rs	replaced: direct typed Rust scaling operations replace the C++ expression executor
src/scaling/strp_tsr.cxx	src/strp_tsr.rs	ported physical/virtual diagonal strip detection, source-order compact copy/restore and metadata reduction; sum/contraction ownership stays in their direct Rust operations
src/scaling/strp_tsr.h	src/strp_tsr.rs	replaced: owned StripPlan replaces raw buffers and recursive wrapper ownership
src/scaling/sym_seq_scl.cxx	src/sym_seq_scl.rs; src/scaling.rs; src/symmetric_operations.rs	ported packed canonical reference/custom traversal, repeated-index selection and right-multiply-then-transform order
